,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
0,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927,12,0,Hotel,Hotel,Rien,28444.075817081597,182.5,7456910.0,2003882.0,3946027.0,False,Compliant,249.98,2.83
1,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996,11,15064,"Hotel, Parking, Restaurant",Hotel,Parking,15064.0,176.1000061,8664479.0,0.0,3242851.0,False,Compliant,295.86,2.86
2,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969,41,196718,Hotel,Hotel,Rien,28444.075817081597,241.8999939,73937112.0,21566554.0,49526664.0,False,Compliant,2089.28,2.19
3,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926,10,0,Hotel,Hotel,Rien,28444.075817081597,216.1999969,6946800.5,2214446.25,2768924.0,False,Compliant,286.43,4.67
4,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980,18,62000,"Hotel, Parking, Swimming Pool",Hotel,Parking,68009.0,211.3999939,14656503.0,0.0,5368607.0,False,Compliant,505.01,2.88
5,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999,2,37198,Police Station,Police Station,Rien,28444.075817081597,316.2999878,12581712.0,0.0,7371434.0,False,Compliant,301.81,3.1
6,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926,11,0,Hotel,Hotel,Rien,28444.075817081597,146.6000061,6062767.5,0.0,2811215.0,False,Compliant,176.14,2.12
7,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926,8,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,Rien,28444.075817081597,141.6999969,7067881.5,2276286.5,3636655.0,False,Compliant,221.51,2.16
8,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904,15,0,Hotel,Hotel,Rien,28444.075817081597,180.8999939,14194054.0,0.0,7297919.0,False,Compliant,392.16,2.39
9,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.60284,-122.33184,1910,6,1496,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,182.6999969,4807679.5,1039735.188,2532015.0,False,Compliant,151.12,2.37
10,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969,11,19279,Hotel,Hotel,Rien,28444.075817081597,228.1999969,16646930.0,5237165.5,6187627.0,False,Compliant,691.26,4.51
11,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998,25,61161,Hotel,Hotel,Rien,28444.075817081597,199.0,27070114.0,5999360.5,18083049.0,False,Compliant,740.97,2.22
12,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928,9,0,Hotel,Hotel,Rien,28444.075817081597,153.6000061,6358719.5,1656352.5,1343000.0,False,Compliant,328.23,5.05
13,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980,33,57600,"Hotel, Parking",Hotel,Parking,57600.0,179.8999939,22524948.0,4337738.5,13904183.0,False,Compliant,648.62,2.05
14,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922,11,25200,"Hotel, Parking",Hotel,Parking,25200.0,297.3999939,11179203.0,4870847.5,3832369.0,False,Compliant,511.39,5.55
15,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004,11,57000,"Data Center, Library, Parking",Library,Parking,49000.0,155.6000061,18706912.0,737559.5,17851297.0,False,Compliant,181.38,0.44
16,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930,6,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,40000.0,157.3999939,10192124.0,4592347.5,4453868.0,False,Compliant,433.86,4.18
17,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983,28,85000,"Hotel, Parking",Hotel,Parking,85000.0,228.5,34351920.0,0.0,21225277.0,False,Compliant,802.89,1.93
18,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907,5,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,15505.0,280.7000122,7877219.0,1776201.875,3764791.0,False,Compliant,273.02,4.75
19,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916,10,0,Hotel,Hotel,Rien,28444.075817081597,225.5,10154608.0,3430862.0,5908370.0,False,Compliant,349.32,3.35
20,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916,10,0,Courthouse,Courthouse,Rien,28444.075817081597,182.6999969,47023088.0,0.0,24357833.0,False,Compliant,1265.29,2.34
21,NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1985,19,0,Other,Other,Rien,28444.075817081597,229.5,49539212.0,0.0,18257661.0,False,Compliant,1699.45,4.41
22,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54576,-122.26853,1961,2,0,K-12 School,K-12 School,Rien,28444.075817081597,60.70000076,1713623.5,0.0,936955.0,True,Error - Correct Default Data,38.53,0.69
23,NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,2001,6,30586,"Hotel, Parking",Hotel,Parking,30586.0,148.0,3673186.75,0.0,2266231.0,False,Compliant,90.01,1.02
24,NonResidential,University,7,DOWNTOWN,47.61816,-122.33629,1928,7,0,College/University,College/University,Rien,28444.075817081597,173.0,12183313.0,0.0,4647474.0,False,Compliant,388.04,3.07
25,NonResidential,Other,7,DOWNTOWN,47.615,-122.33081,1930,2,0,Automobile Dealership,Automobile Dealership,Rien,28444.075817081597,61.20000076,1310236.625,0.0,1310236.0,False,Compliant,9.13,0.14
26,NonResidential,Hotel,7,EAST,47.61301,-122.32929,1991,8,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,42000.0,58.0,5424942.0,0.0,572307.0,False,Compliant,256.57,1.62
27,NonResidential,Hotel,7,DOWNTOWN,47.61784,-122.32966,2001,10,38281,Hotel,Hotel,Rien,28444.075817081597,181.1000061,11171407.0,0.0,5610706.0,False,Compliant,328.63,1.91
28,SPS-District K-12,K-12 School,3,Central,47.62266,-122.30547,1955,1,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0
29,NonResidential,Hotel,7,DOWNTOWN,47.61558,-122.34186,1978,5,16200,Hotel,Hotel,Rien,28444.075817081597,199.6999969,4557974.0,0.0,2346349.0,False,Compliant,128.44,1.88
30,SPS-District K-12,K-12 School,5,NORTH,47.70994,-122.29301,1949,2,0,K-12 School,K-12 School,Rien,28444.075817081597,68.09999847,7800349.5,0.0,1947601.0,True,Error - Correct Default Data,270.18,1.68
31,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,2,0,K-12 School,K-12 School,Rien,28444.075817081597,0.0,0.0,0.0,1496816.0,False,Missing Data,10.43,0.2
32,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6641,-122.33118,1906,3,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,K-12 School,18153.0,106.5,4703690.0,0.0,1352843.0,False,Compliant,157.77,1.81
33,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1994,4,0,Hotel,Hotel,Rien,28444.075817081597,162.5,6731281.5,0.0,3016399.0,False,Compliant,215.0,2.63
34,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1955,2,0,Self-Storage Facility,Self-Storage Facility,Rien,28444.075817081597,35.20000076,326223.0938,0.0,281265.0,False,Compliant,3.93,0.04
35,Campus,Mixed Use Property,2,GREATER DUWAMISH,47.53493,-122.31788,1992,3,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,Laboratory,639931.0,388.2000122,471613856.0,0.0,150476283.0,False,Compliant,16870.98,34.09
36,NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,1961,2,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,Refrigerated Warehouse,276000.0,145.8999939,44110016.0,0.0,44731153.0,False,Compliant,311.84,0.44
37,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,2,0,K-12 School,K-12 School,Rien,28444.075817081597,77.80000305,1802471.375,0.0,1217589.0,False,Compliant,31.47,0.57
38,SPS-District K-12,K-12 School,4,NORTHEAST,47.68252,-122.29498,1950,2,0,K-12 School,K-12 School,Rien,28444.075817081597,55.0,7329817.5,0.0,1599684.0,True,Error - Correct Default Data,266.05,1.52
39,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1961,2,0,"Non-Refrigerated Warehouse, Office",Office,Non-Refrigerated Warehouse,39314.0,163.0,6536359.5,0.0,4291585.0,False,Compliant,130.56,1.38
40,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1900,2,0,"Office, Other - Education",Office,Other - Education,7849.0,108.6999969,3150635.5,0.0,1579749.0,False,Compliant,83.86,1.6
41,NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1954,3,0,K-12 School,K-12 School,Rien,28444.075817081597,74.0,7886505.5,0.0,2679739.0,False,Compliant,247.85,1.42
42,NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1911,3,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,28197.0,76.59999847,2331573.25,0.0,1500229.0,False,Compliant,45.43,0.64
